monitor_point_code,monitor_point_name,province_name,city_name,county_name,monitor_point_type,scale,warning_level,longitude,latitude,threaten_population,threaten_residents,threaten_assets,avg_slope,lithology,induce_factors,current_status,is_hidden_danger
622926010416,东源乡赵家村赵家社村道边坡滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,蓝色,103.347448,35.641957,45.0,0.0,240.0,,,降雨,,0
622926010417,东源乡赵家村丁家社马洒力哈家东南侧滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.346617,35.637168,45.0,0.0,240.0,,,降雨,,0
622926010419,考勒乡岘子村上湾社滑坡,甘肃省,临夏回族自治州,东乡族自治县,滑坡,未分级,未定级,103.336544,35.807057,30.0,0.0,150.0,,,降雨,,0
622926030050,拉砂沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,红色,103.627427,35.726728,2000.0,0.0,2000.0,,,"降雨,人为因素",,0
622926030051,砂沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.536988,35.792687,180.0,0.0,560.0,,,"降雨,人为因素",,0
622926030057,张尕拉沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.590405,35.772879,150.0,0.0,800.0,,,降雨,,0
622926030061,达板镇舀水村二社泥石流沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.602978,35.74116,200.0,0.0,1000.0,,,降雨,,0
622926030066,塔石沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.514997,35.83749,110.0,0.0,400.0,,,"降雨,人为因素",,0
622926030068,石拉泉沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,蓝色,103.53005,35.546547,560.0,0.0,4000.0,,,降雨,,0
622926030071,达板镇崔家沟泥石流,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,蓝色,103.690527,35.665314,300.0,0.0,1500.0,,,"地震,降雨,人为因素",,0
622926030072,黑儿坪沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.691369,35.65994,460.0,0.0,4600.0,,,"降雨,人为因素",,0
622926030073,老庄坪沟,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.715748,35.651717,150.0,0.0,500.0,,,"降雨,人为因素",,0
622926030074,果园乡果园村沟泥石流 ,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.687017,35.560333,560.0,0.0,3530.0,,,降雨,,0
622926030081,五家乡红庄沟泥石流 ,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.531281,35.556143,600.0,0.0,50000.0,,,降雨,,0
622926030083,那勒寺镇郭泥沟泥石流 ,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.429961,35.565071,800.0,0.0,2000.0,,,降雨,,0
622926030084,那勒寺镇达板空果园社龙土沟泥石流,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.412604,35.551254,520.0,0.0,800.0,,,"人为因素,降雨",,0
622926030090,达板镇砂子沟泥石流,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.672348,35.670899,500.0,0.0,1000.0,,,"地震,降雨,人为因素",,0
622926030093,大柴沟泥石流,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,红色,103.551009,35.789393,110.0,0.0,525.0,,,"降雨,人为因素",,0
622926030094,锁南镇白家沟泥石流,甘肃省,临夏回族自治州,东乡族自治县,泥石流,未分级,未定级,103.408736,35.659914,16.0,0.0,90.0,,,"降雨,人为因素",,0
622927000096,中咀岭乡中咀岭村十二社、二社不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.9175,35.625278,97.0,0.0,500.0,,,降雨,,0
622927000107,郭干乡王家村六社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,103.006739,35.650967,44.0,0.0,180.0,,,降雨,,0
622927000120,中咀岭乡庙岭村二社1#不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,红色,102.914336,35.634775,43.0,0.0,115.0,,,降雨,,0
622927000121,大河家镇牙虎崖滑坡 ,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,黄色,102.861473,35.838458,341.0,0.0,1000.0,,,"地震,降雨,人为因素",,0
622927000131,居集镇业卜湾村四社不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.88425,35.649528,43.0,0.0,180.0,,,降雨,,0
622927000137,柳沟乡袁家村四社不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.868311,35.753642,100.0,0.0,627.0,,,"地震,降雨",,0
622927000148,安集斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,橙色,103.004722,35.744722,45.0,0.0,400.0,,,降雨,,0
622927000150,阳山斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.834256,35.750292,20.0,0.0,200.0,,,"降雨,人为因素",,0
622927000155,石塬乡刘安村九家坪社斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,橙色,102.824375,35.746403,35.0,0.0,500.0,,,降雨,,0
622927000161,郭干乡满陈家村三社不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,103.006388,35.682222,151.0,0.0,1400.0,,,降雨,,0
622927000165,郭干乡王家村五社不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.999831,35.656539,0.0,0.0,60.0,,,降雨,,0
622927000167,胡林家乡胡林家村李家山社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.886222,35.702722,27.0,0.0,160.0,,,"地震,降雨",,0
622927000174,居集镇甘藏村三社不稳定斜坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,黄色,102.913172,35.651117,48.0,0.0,160.0,,,降雨,,0
622927010123,积石山县癿藏镇阴洼滩村滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,黄色,102.943067,35.582778,80.0,0.0,420.0,,,"地震,降雨",,0
622927010126,癿藏镇纳莫沟村四社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.920833,35.61,110.0,0.0,540.0,,,"地震,降雨",,0
622927010130,小关乡大寺村五社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.882408,35.594781,45.0,0.0,220.0,,,"地震,降雨",,0
622927010133,小关乡尕阴洼村六社1#、2#滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,红色,102.904722,35.607778,45.0,0.0,220.0,,,"地震,降雨",,0
622927010149,癿藏镇杨家岭村三社2#滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.969175,35.59445,22.0,0.0,90.0,,,降雨,,0
622927010159,小关乡吴家堡村八社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.928831,35.582181,15.0,0.0,85.0,,,降雨,,0
622927010161,小关乡吴家堡村九社1#滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,黄色,102.924728,35.582503,40.0,0.0,180.0,,,"地震,降雨",,0
622927010167,小关乡吴家堡村九社2#滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,黄色,102.923067,35.579192,52.0,0.0,260.0,,,"地震,降雨",,0
622927010180,居集镇居集村七社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,红色,102.932036,35.652928,105.0,0.0,300.0,,,降雨,,0
622927010182,居集镇业卜湾村六社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.889661,35.649197,40.0,0.0,195.0,,,降雨,,0
622927010192,安集乡杨家岭村阳洼山社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,103.063611,35.747222,73.0,0.0,200.0,,,降雨,,0
622927010193,银川乡银川村庙上社滑坡 ,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,103.063809,35.670623,300.0,0.0,450.0,,,降雨,,0
622927010197,小关乡吴家堡村九社清真寺门前滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,未定级,102.922222,35.580833,30.0,0.0,150.0,,,"地震,降雨",,0
622927010198,石塬乡刘安村对坡社滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.819125,35.742858,98.0,0.0,890.0,,,降雨,,0
622927010199,胡林家乡何家村小学门前滑坡,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,滑坡,未分级,蓝色,102.920139,35.692231,400.0,0.0,500.0,,,"降雨,人为因素",,0
