cluster_id,member_count,monitor_point_codes
107,4,__620104010249;620104000476;620104000537;620104000538
111,4,__620104010316;__620104010317;__620104010319;620104010188
124,4,__620123010069;__620123010071;__620123010139;620123000331
126,4,__620123010093;__620123010098;__620123010142;620123000255
138,4,__620821020230;__620821020231;620821020010;620821020095
139,4,__62082102025601;620821000092;620821020030;620821020092
141,4,__620822010039;__62082201009501;__620822020024;__620822030017
152,4,__62102602028501;621026000065;621026020021;621026020024
162,4,__62120201009801;__62120201024501;__62120201243701;621202010003
169,4,__62120201208901;__62120201209001;__62120201231301;621202011803
182,4,623023010142;__623023010166;__623023010263;____623023010043
187,4,630122000535;__630122011489;__630122011490;__630122011491
188,4,__630122020110;__630122020111;__630122020112;__630122020116
193,4,__640324020089;__640324020310;__640324020311;__640324020312
200,4,420321010824;420321011181;420321011184;420321011195
201,4,420321010308;420321010825;420321011196;420321011198
212,4,420322010121;420322010537;420322010549;420322010550
220,4,420323010254;420323010257;420323010258;420323010971
221,4,420323010492;420323010493;420323010529;420323011115
226,4,420323010987;420323010988;420323010990;420323011256
228,4,420323011098;420323011099;420323011100;420323011101
233,4,420324000310;420324010164;420324010325;420324010467
236,4,6101160000004801;6101160000010801;6101160000010901;6101160091270101
237,4,6101161050006901;6101161050007001;6101161050010402;6101161050010601
248,4,610303010028;610303010029;610303010093;610303020004
254,4,610522030011;610522030017;610522030018;610522030019
270,4,610828020029;610828020033;610828020034;610828020035
279,4,610924010081;610924010082;610924010083;610924010587
281,4,610924010098;610924010107;610924010114;610924030006
288,4,610924010343;610924010496;610924010520;610924010546
290,4,610924010372;610924010373;610924010689;610924010690
292,4,610924010447;610924010448;610924010584;610924010585
302,4,610925010137;610925010245;610925010264;610925010435
311,4,611024010198;611024010224;611024010225;611024010226
322,4,__62012302004101;__62012302004301;620123000214;620123020084
334,4,620802000020;620802000021;620802000045;620802000046
337,4,__620821020149;620821000141;620821020023;620821020110
368,4,513225010018;513225010168;513225010513;513225030141
371,4,513225020039;513225030014;513225030015;513225030020
2,3,140881000004;140881000005;140881000006
3,3,622926030061;622926000696;622926010359
6,3,623022000023;623022030098;__623022010086
8,3,623023010093;623023030167;____623023010017
10,3,623023010127;__623023010165;____623023010066
11,3,623023010143;623023030118;__623023030106
13,3,623023010162;623023020020;623023030150
15,3,623027010005;__623027030129;__623027030130
17,3,630121000045;630121010164;__630121011022
18,3,630121000426;__630121011025;__630121011026
20,3,630121010105;630121010106;630121010113
23,3,630122000499;630122010156;630122010208
24,3,630122000550;__630122011485;__630122011486
25,3,630122000597;630122000600;630122000601
28,3,630122010152;630122010264;630122010265
32,3,630122010191;__630122011052;__630122011456
33,3,630122010198;630122010267;__630122011475
34,3,630122010273;__630122011049;__630122011465
35,3,630122010282;630122010283;630122020034
38,3,632123000379;632123030206;__632123000673
39,3,632123000444;632123000445;632123030215
41,3,632123000376;632123010182;632123030236
42,3,632123010195;632123010197;632123010246
43,3,632123010160;632123010161;632123010230
44,3,632126000489;632126000500;632126000612
45,3,632126000528;632126000530;632126010236
47,3,632222000073;632222000075;__632222000077
49,3,632521010022;632521020001;632521030024
50,3,632521000033;632521000058;632521030038
51,3,632522000058;632522000067;632522020015
52,3,632621010009;632621010010;__3
53,3,632721010029;632721010031;632721010032
55,3,__6106020010030001;__6106020010070001;610602010044
56,3,__610722010116;610722010062;610722010064
57,3,__6107231130080000;610723010014;610723010015
58,3,__610727010200;610727010617;610727010618
59,3,__610727010291;__610727010299;610727010437
60,3,__610727010429;__610727010468;610727010491
69,3,__620102010138;__620102010438;__620102010524
78,3,__620103010099;__620103010214;620103000244
79,3,__620103010102;__620103010195;620103010066
81,3,__620103010115;__620103010192;620103000200
82,3,__620103010130;620103010072;620103010074
84,3,__620103010120;__620103010171;620103000207
86,3,__620103010183;__620103010184;620103000286
94,3,__620104010115;620104010105;620104030041
96,3,__620104010144;__620104010489;620104010147
98,3,__620104010160;__620104010212;620104000492
99,3,__620104010165;__620104010291;620104010170
105,3,__620104010217;__620104010218;__620104010374
110,3,__620104010305;__620104010494;620104010148
112,3,__620104010387;__620104010388;__620104010389
118,3,__620105010063;620105000084;620105000103
121,3,__620105010135;__620122010064;__620122010129
122,3,__620122010074;__620122020073;__620122020075
125,3,__620123010075;__620123010076;620123000233
127,3,__620123020093;__620123020094;__62012302082
128,3,__62042203000101;620422010021;620422030008
130,3,__620521010243;__620521010245;__620521010260
131,3,__620525010085;__62052502034801;620525020044
132,3,__62080201001702;__62080201001703;620802010048
133,3,__620802010069;620802000022;620802000026
134,3,__620802020095;__620802020096;__620802020097
135,3,__62082102000801;620821020006;620821020007
136,3,__62082102003901;620821000181;620821020077
137,3,__620821020167;__620821020174;__620821020371
142,3,__620822010106;__620822010108;__620822010109
143,3,__620825020014;__620825020016;__620825020017
144,3,__620826010237;__620826010239;__620826020053
145,3,__620826010263;__620826020046;620826000051
147,3,__620826020039;__620826020052;620826020011
148,3,__621021010225;621021000193;621021000315
149,3,__62102301003601;__62102301016301;621023010016
151,3,__621026010040;__621026010041;621026000184
153,3,__62102602008801;__62102602033001;__621026020358
154,3,__62102602048101;621026000236;621026030059
155,3,__62102701008401;__62102702002901;621027030043
156,3,__62112201003301;__62112202003701;__621122020038
157,3,__621126010401;621126010191;621126010288
158,3,__621126010549;621126010225;621126030334
159,3,__621126010452;__621126010583;621126010236
160,3,__62112601059401;621126010250;621126010274
161,3,__62112603033201;621126010185;621126010187
164,3,__62120201011401;__62120201042001;621202012142
165,3,__62120201017901;__62120201141101;621202030743
166,3,__62120201077901;__62120201206201;621202011630
167,3,__621202011320;621202011445;621202011895
168,3,__621202011418;__621202011458;621202020164
170,3,__62120201218501;__62120201219401;621202010981
171,3,__621202020429;621202011782;621202020150
172,3,__62122201383;621222010651;621222010652
173,3,__62122202010401;__62122202044101;621222010573
174,3,__62122202035701;621222000166;621222010602
175,3,__62290101002201;__62290101003401;622901000076
176,3,__622901010044;__622901010045;__622901010046
179,3,__622924010062;__622924010071;__622924010092
180,3,__623023010071;__623023010192;__623023010419
181,3,__623023010155;__623023010295;__623023030123
